"filename", "language", "CMake", "comment", "blank", "total"
"/home/oysterpus/IP/CMakeLists.txt", "CMake", -6, -5, -4, -15
"/home/oysterpus/IP/proto/CMakeLists.txt", "CMake", -8, 0, -1, -9
"Total", "-", -14, -5, -5, -24
